ID;Statut (Possédé / Recherche / Non possédé);Nom de l'Édition;Catégorie;Année;Pays / Région;Éditeur;Image / Visuel Boîte;État;Prix d'achat (€);Valeur estimée (€);Emplacement / Rangement;Description & Pions;Notes personnelles
mono-monopoly-2014-fifa-world-cup-brasil-edition;Non possédé;Monopoly 2014 FIFA World Cup Brasil Edition;Marques & Sports;2014;Monde;Hasbro;images/box_mono-monopoly-2014-fifa-world-cup-brasil-edition.jpg;;;;;Édition Monopoly 2014 FIFA World Cup Brasil Edition éditée par Hasbro.;
mono-monopoly-2018-fifa-world-cup-russia-edition;Non possédé;Monopoly 2018 FIFA World Cup Russia Edition;Marques & Sports;2018;Monde;Hasbro;images/box_mono-monopoly-2018-fifa-world-cup-russia-edition.jpg;;;;;Édition Monopoly 2018 FIFA World Cup Russia Edition éditée par Hasbro.;
mono-monopoly-2026-fifa-world-cup-edition;Non possédé;Monopoly 2026 FIFA World Cup Edition;Marques & Sports;2026;Monde;Hasbro;images/box_mono-monopoly-2026-fifa-world-cup-edition.jpg;;;;;Édition Monopoly 2026 FIFA World Cup Edition éditée par Hasbro.;
mono-monopoly-25th-anniversary-edition;Non possédé;Monopoly 25th Anniversary Edition;Classique & Anniversaire;2010;Monde;Hasbro;images/box_mono-monopoly-25th-anniversary-edition.png;;;;;Édition Monopoly 25th Anniversary Edition éditée par Hasbro.;
mono-monopoly-25th-rim-blackberry-anniversary-edition;Non possédé;Monopoly 25th RIM (Blackberry) Anniversary Edition;Classique & Anniversaire;2010;Monde;Hasbro;;;;;;Édition Monopoly 25th RIM (Blackberry) Anniversary Edition éditée par Hasbro.;
mono-monopoly-30th-anniversary-edition;Non possédé;Monopoly 30th Anniversary Edition;Classique & Anniversaire;2010;Monde;Hasbro;images/box_mono-monopoly-30th-anniversary-edition.jpg;;;;;Édition Monopoly 30th Anniversary Edition éditée par Hasbro.;
mono-monopoly-3d-monopoly-new-york-edition-by-charles-f;Non possédé;Monopoly 3D Monopoly New York Edition by Charles Fazzino;Villes & Pays (Monde);2010;Monde;Hasbro;;;;;;Édition Monopoly 3D Monopoly New York Edition by Charles Fazzino éditée par Hasbro.;
mono-monopoly-3d-new-york-edition;Non possédé;Monopoly 3D New York Edition;Villes & Pays (Monde);2010;Monde;Hasbro;images/box_mono-monopoly-3d-new-york-edition.jpg;;;;;Édition Monopoly 3D New York Edition éditée par Hasbro.;
mono-monopoly-40th-anniversary-deluxe-edition;Non possédé;Monopoly 40th Anniversary Deluxe Edition;Classique & Anniversaire;2010;Monde;Hasbro;images/box_mono-monopoly-40th-anniversary-deluxe-edition.jpg;;;;;Édition Monopoly 40th Anniversary Deluxe Edition éditée par Hasbro.;
mono-monopoly-40th-anniversary-edition;Non possédé;Monopoly 40th Anniversary Edition;Classique & Anniversaire;2010;Monde;Hasbro;images/box_mono-monopoly-40th-anniversary-edition.jpg;;;;;Édition Monopoly 40th Anniversary Edition éditée par Hasbro.;
mono-monopoly-50th-anniversary-deluxe-edition;Non possédé;Monopoly 50th Anniversary Deluxe Edition;Classique & Anniversaire;2010;Monde;Hasbro;;;;;;Édition Monopoly 50th Anniversary Deluxe Edition éditée par Hasbro.;
mono-50th;Non possédé;Monopoly 50ème Anniversaire (1935-1985);Classique & Anniversaire;1985;Monde;Parker Brothers;;;;;;Édition commémorative spéciale 50 ans avec boîte argentée ou dorée et pions en métal collector.;
mono-monopoly-60th-anniversary-edition;Non possédé;Monopoly 60th Anniversary Edition;Classique & Anniversaire;1995;USA;Parker Brothers;images/box_mono-monopoly-60th-anniversary-edition.jpg;;;;;Édition Monopoly 60th Anniversary Edition éditée par Parker Brothers.;
mono-60th;Non possédé;Monopoly 60ème Anniversaire (1935-1995);Classique & Anniversaire;1995;Monde;Parker Brothers;images/mono-60th.jpg;;;;;Boîte en métal embossé commémorative avec pions dorés spéciaux.;
mono-monopoly-65th-anniversary-1935-2000-edition;Non possédé;Monopoly 65th Anniversary 1935-2000 Edition;Classique & Anniversaire;2000;USA;Hasbro;images/box_mono-monopoly-65th-anniversary-1935-2000-edition.jpg;;;;;Édition Monopoly 65th Anniversary 1935-2000 Edition éditée par Hasbro.;
mono-monopoly-70th-anniversary-edition;Non possédé;Monopoly 70th Anniversary Edition;Classique & Anniversaire;2005;USA;Parker Brothers;images/box_mono-monopoly-70th-anniversary-edition.jpg;;;;;Édition Monopoly 70th Anniversary Edition éditée par Parker Brothers.;
mono-70th;Non possédé;Monopoly 70ème Anniversaire;Classique & Anniversaire;2005;Monde;Hasbro;images/mono-70th.jpg;;;;;Boîte en fer blanc argenté avec cartes argentées et pions chromés.;
mono-monopoly-80th-anniversary-edition;Non possédé;Monopoly 80th Anniversary Edition;Classique & Anniversaire;2010;Monde;Hasbro;images/box_mono-monopoly-80th-anniversary-edition.jpg;;;;;Édition Monopoly 80th Anniversary Edition éditée par Hasbro.;
mono-80th;Non possédé;Monopoly 80ème Anniversaire (1935-2015);Classique & Anniversaire;2015;Monde / France;Hasbro;images/mono-80th.webp;;;;;Comprend 8 pions vintage emblématiques représentant chacun une décennie (années 30 à 2000).;
mono-monopoly-85th-anniversary-edition;Non possédé;Monopoly 85th Anniversary Edition;Classique & Anniversaire;2010;Monde;Hasbro;images/box_mono-monopoly-85th-anniversary-edition.png;;;;;Édition Monopoly 85th Anniversary Edition éditée par Hasbro.;
mono-85th;Non possédé;Monopoly 85ème Anniversaire;Classique & Anniversaire;2020;Monde / France;Hasbro;images/mono-85th.webp;;;;;Édition de luxe festive avec finitions brillantes et pions spéciaux célébrant 85 ans de Monopoly.;
mono-monopoly-90th-anniversary-edition;Non possédé;Monopoly 90th Anniversary Edition;Classique & Anniversaire;2010;Monde;Hasbro;images/box_mono-monopoly-90th-anniversary-edition.jpg;;;;;Édition Monopoly 90th Anniversary Edition éditée par Hasbro.;
mono-monopoly-90th-winter-olympics-anniversary-edition;Non possédé;Monopoly 90th Winter Olympics Anniversary Edition;Marques & Sports;2010;Monde;Hasbro;images/box_mono-monopoly-90th-winter-olympics-anniversary-edition.jpg;;;;;Édition Monopoly 90th Winter Olympics Anniversary Edition éditée par Hasbro.;
mono-et-si-invente-aujourdhui;Possédé;Monopoly : Et si Monopoly était inventé aujourd'hui ?;Déclinaisons & Variantes;2006;France;Parker / Hasbro;images/box_mono-et-si-invente-aujourdhui.jpg;Très bon état;;;Collection personnelle;Édition spéciale 70 ans de Monopoly avec prix en millions d'euros, lieux parisiens modernes (Stade de France, Musée d'Orsay, Tour Eiffel) et pions contemporains (téléphone, rollers, avion, burger, skate).;Réf MR M70 / Boîte carrée Parker 2006. Billets de banque en millions d'euros.
mono-et-si-invente-electronique;Possédé;Monopoly : Et si Monopoly était inventé aujourd'hui ? (Banque Électronique);Déclinaisons & Variantes;2005;France;Parker / Hasbro;images/box_mono-et-si-invente-electronique.jpg;Très bon état;;;Collection personnelle;Version spéciale 70 ans équipée d'un terminal bancaire électronique et de cartes de crédit avec 15 millions d'euros de crédit immédiat. Pions modernes en métal (téléphone, rollers, navette, burger).;Réf 00402101 / 020500114. Terminal bancaire électronique et cartes bancaires.
mono-france-villes-2008;Non possédé;Monopoly : Les Villes de France (Et si le Monopoly était inventé aujourd'hui ?);Villes & Régions (France);2008;France;Hasbro / Parker;;;;;;Édition historique issue du grand vote national des Français en 2008 : Dunkerque est élue sur la case Rue de la Paix, Montauban sur les Champs-Élysées, et 20 autres villes françaises représentées.;
mono-monopoly-nightmare-before-christmas;Non possédé;Monopoly : Nightmare Before Christmas;Films & Séries;2010;Monde;Hasbro;images/box_mono-monopoly-nightmare-before-christmas.jpg;;;;;Édition Monopoly : Nightmare Before Christmas éditée par Hasbro.;
mono-monopoly-a-christmas-story-collector-s-edition;Non possédé;Monopoly A Christmas Story Collector’s Edition;Variantes & Règles Spéciales;2007;USA;USAopoly / The Op;images/box_mono-monopoly-a-christmas-story-collector-s-edition.jpg;;;;;Édition Monopoly A Christmas Story Collector’s Edition éditée par USAopoly / The Op.;
mono-monopoly-a-court-of-thorns-and-roses-edition;Non possédé;Monopoly A Court of Thorns and Roses Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-a-court-of-thorns-and-roses-edition.png;;;;;Édition Monopoly A Court of Thorns and Roses Edition éditée par Hasbro.;
mono-monopoly-abba-edition;Non possédé;Monopoly ABBA Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-abba-edition.jpg;;;;;Édition Monopoly ABBA Edition éditée par Hasbro.;
mono-music-acdc;Non possédé;Monopoly AC/DC Collector's Edition;Musique & Groupes;2011;Monde;USAopoly;images/mono-music-acdc.jpg;;;;;Back in Black, Highway to Hell, For Those About to Rock, pions cloche d'enfer, casquette d'Angus, canon.;
mono-monopoly-ac-dc-edition;Non possédé;Monopoly AC/DC Edition;Musique & Groupes;2010;Monde;Hasbro;;;;;;Édition Monopoly AC/DC Edition éditée par Hasbro.;
mono-monopoly-afl-premier-carlton-edition;Non possédé;Monopoly AFL Premier – Carlton Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-afl-premier-carlton-edition.jpg;;;;;Édition Monopoly AFL Premier – Carlton Edition éditée par Hasbro.;
mono-monopoly-afl-premier-collingwood-edition;Non possédé;Monopoly AFL Premier – Collingwood Edition;Classique & Anniversaire;2010;Monde;Hasbro;images/box_mono-monopoly-afl-premier-collingwood-edition.jpg;;;;;Édition Monopoly AFL Premier – Collingwood Edition éditée par Hasbro.;
mono-monopoly-afl-premier-geelong-edition;Non possédé;Monopoly AFL Premier – Geelong Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-afl-premier-geelong-edition.jpg;;;;;Édition Monopoly AFL Premier – Geelong Edition éditée par Hasbro.;
mono-monopoly-asml-edition;Non possédé;Monopoly ASML Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly ASML Edition éditée par Hasbro.;
mono-monopoly-asml-special-edition;Non possédé;Monopoly ASML Special Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-asml-special-edition.jpg;;;;;Édition Monopoly ASML Special Edition éditée par Hasbro.;
mono-monopoly-aachen-edition;Non possédé;Monopoly Aachen Edition;Variantes & Règles Spéciales;2006;Allemagne;Winning Moves;images/box_mono-monopoly-aachen-edition.jpg;;;;;Édition Monopoly Aachen Edition éditée par Winning Moves.;
mono-monopoly-aberdeen-edition;Non possédé;Monopoly Aberdeen Edition;Variantes & Règles Spéciales;2006;Royaume-Uni;Winning Moves;images/box_mono-monopoly-aberdeen-edition.jpg;;;;;Édition Monopoly Aberdeen Edition éditée par Winning Moves.;
mono-monopoly-abileneopoly;Non possédé;Monopoly Abileneopoly;Variantes & Règles Spéciales;2007;USA;Hasbro;images/box_mono-monopoly-abileneopoly.jpg;;;;;Édition Monopoly Abileneopoly éditée par Hasbro.;
mono-monopoly-abington-opoly;Non possédé;Monopoly Abington-opoly;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Abington-opoly éditée par Hasbro.;
mono-monopoly-abingtonopoly;Non possédé;Monopoly Abingtonopoly;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-abingtonopoly.jpg;;;;;Édition Monopoly Abingtonopoly éditée par Hasbro.;
mono-monopoly-accra-edition;Non possédé;Monopoly Accra Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-accra-edition.png;;;;;Édition Monopoly Accra Edition éditée par Hasbro.;
mono-monopoly-achievement-hunter-edition;Non possédé;Monopoly Achievement Hunter Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Achievement Hunter Edition éditée par Hasbro.;
mono-monopoly-adelaide-crows-20th-anniversary-edition;Non possédé;Monopoly Adelaide Crows 20th Anniversary Edition;Classique & Anniversaire;2010;Monde;Hasbro;images/box_mono-monopoly-adelaide-crows-20th-anniversary-edition.jpg;;;;;Édition Monopoly Adelaide Crows 20th Anniversary Edition éditée par Hasbro.;
mono-monopoly-adelaide-crows-20th-anniversary-edition-1;Non possédé;Monopoly Adelaide Crows 20th anniversary Edition;Classique & Anniversaire;2010;Monde;Hasbro;;;;;;Édition Monopoly Adelaide Crows 20th anniversary Edition éditée par Hasbro.;
mono-monopoly-adelaide-crows-charity-edition;Non possédé;Monopoly Adelaide Crows Charity Edition;Éditions Spéciales & Thématiques;2005;Monde;Hasbro;images/box_mono-monopoly-adelaide-crows-charity-edition.jpg;;;;;Édition Monopoly Adelaide Crows Charity Edition éditée par Hasbro.;
mono-monopoly-adelaide-crows-edition;Non possédé;Monopoly Adelaide Crows Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Adelaide Crows Edition éditée par Hasbro.;
mono-monopoly-adelaide-edition;Non possédé;Monopoly Adelaide Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-adelaide-edition.png;;;;;Édition Monopoly Adelaide Edition éditée par Hasbro.;
mono-monopoly-advance-to-boardwalk;Non possédé;Monopoly Advance to Boardwalk;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-advance-to-boardwalk.jpg;;;;;Édition Monopoly Advance to Boardwalk éditée par Hasbro.;
mono-monopoly-adventure-time-collector-s-edition;Non possédé;Monopoly Adventure Time Collector's Edition;Variantes & Règles Spéciales;2013;USA;USAopoly / The Op;images/box_mono-monopoly-adventure-time-collector-s-edition.jpg;;;;;Édition Monopoly Adventure Time Collector's Edition éditée par USAopoly / The Op.;
mono-monopoly-affton-opoly;Non possédé;Monopoly Affton-opoly;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-affton-opoly.jpg;;;;;Édition Monopoly Affton-opoly éditée par Hasbro.;
mono-monopoly-aggie-opoly;Non possédé;Monopoly Aggie-opoly;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-aggie-opoly.jpg;;;;;Édition Monopoly Aggie-opoly éditée par Hasbro.;
mono-monopoly-aix-en-provence-edition;Non possédé;Monopoly Aix en Provence Edition;Villes & Régions (France);2010;Monde;Hasbro;images/box_mono-monopoly-aix-en-provence-edition.jpg;;;;;Édition Monopoly Aix en Provence Edition éditée par Hasbro.;
mono-monopoly-al-dallal;Non possédé;Monopoly Al Dallal;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-al-dallal.jpg;;;;;Édition Monopoly Al Dallal éditée par Hasbro.;
mono-monopoly-al-dallal-edition;Non possédé;Monopoly Al Dallal Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Al Dallal Edition éditée par Hasbro.;
mono-monopoly-alan-turing-edition;Non possédé;Monopoly Alan Turing Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-alan-turing-edition.jpg;;;;;Édition Monopoly Alan Turing Edition éditée par Hasbro.;
mono-monopoly-alaska-edition;Non possédé;Monopoly Alaska Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-alaska-edition.jpg;;;;;Édition Monopoly Alaska Edition éditée par Hasbro.;
mono-monopoly-alaska-s-iditarod-edition;Non possédé;Monopoly Alaska's Iditarod Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-alaska-s-iditarod-edition.jpg;;;;;Édition Monopoly Alaska's Iditarod Edition éditée par Hasbro.;
mono-monopoly-albany-edition;Non possédé;Monopoly Albany Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Albany Edition éditée par Hasbro.;
mono-monopoly-albany-in-a-box;Non possédé;Monopoly Albany-in-a-box;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-albany-in-a-box.jpg;;;;;Édition Monopoly Albany-in-a-box éditée par Hasbro.;
mono-monopoly-alberta-opoly;Non possédé;Monopoly Alberta-opoly;Variantes & Règles Spéciales;2010;Canada;Hasbro;images/box_mono-monopoly-alberta-opoly.jpg;;;;;Édition Monopoly Alberta-opoly éditée par Hasbro.;
mono-monopoly-albertsons-edition;Non possédé;Monopoly Albertsons Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Albertsons Edition éditée par Hasbro.;
mono-monopoly-albuquerque-opoly;Non possédé;Monopoly Albuquerque-opoly;Variantes & Règles Spéciales;2010;USA;Hasbro;images/box_mono-monopoly-albuquerque-opoly.jpg;;;;;Édition Monopoly Albuquerque-opoly éditée par Hasbro.;
mono-monopoly-alfa-opoly;Non possédé;Monopoly Alfa-opoly;Variantes & Règles Spéciales;2010;Monde;Hasbro;images/box_mono-monopoly-alfa-opoly.jpg;;;;;Édition Monopoly Alfa-opoly éditée par Hasbro.;
mono-monopoly-algarve-opoly;Non possédé;Monopoly Algarve-opoly;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Algarve-opoly éditée par Hasbro.;
mono-monopoly-algarveopoly;Non possédé;Monopoly Algarveopoly;Variantes & Règles Spéciales;1998;Monde;Hasbro;images/box_mono-monopoly-algarveopoly.jpg;;;;;Édition Monopoly Algarveopoly éditée par Hasbro.;
mono-monopoly-alice-in-wonderland-collector-s-edition;Non possédé;Monopoly Alice in Wonderland Collector's Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-alice-in-wonderland-collector-s-edition.jpg;;;;;Édition Monopoly Alice in Wonderland Collector's Edition éditée par Hasbro.;
mono-monopoly-all-blacks-charity-edition;Non possédé;Monopoly All Blacks Charity Edition;Variantes & Règles Spéciales;2009;Monde;Hasbro;images/box_mono-monopoly-all-blacks-charity-edition.jpg;;;;;Édition Monopoly All Blacks Charity Edition éditée par Hasbro.;
mono-monopoly-allstate-insurance-edition;Non possédé;Monopoly Allstate Insurance Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Allstate Insurance Edition éditée par Hasbro.;
mono-monopoly-allstate-main-street-edition;Non possédé;Monopoly Allstate Main Street Edition;Variantes & Règles Spéciales;1982;Monde;Hasbro;images/box_mono-monopoly-allstate-main-street-edition.jpg;;;;;Édition Monopoly Allstate Main Street Edition éditée par Hasbro.;
